Name,Total,Name-Date,Qty-Price
Vanguard S&P 500 ETF Market Buy,$257.42,Vanguard S&P 500 ETF Market BuyMay 28,1 share at $257.42
Vanguard S&P 500 ETF Market Buy,$259.72,Vanguard S&P 500 ETF Market BuyMay 24,1 share at $259.72
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$414.65,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyMay 23,10 shares at $41.47
Vanguard S&P 500 ETF Market Buy,$259.20,Vanguard S&P 500 ETF Market BuyMay 23,1 share at $259.20
Vanguard S&P 500 ETF Market Buy,$262.54,Vanguard S&P 500 ETF Market BuyMay 22,1 share at $262.54
Vanguard High Dividend Yield ETF Market Buy,$861.20,Vanguard High Dividend Yield ETF Market BuyMay 21,10 shares at $86.12
Vanguard Mega Cap ETF Market Buy,$989.80,Vanguard Mega Cap ETF Market BuyMay 21,10 shares at $98.98
Sirius XM Market Buy,$22.88,Sirius XM Market BuyMay 14,4 shares at $5.72
AT&T Market Buy,$273.38,AT&T Market BuyMay 13,9 shares at $30.38
Ford Market Buy,$202.20,Ford Market BuyMay 13,20 shares at $10.11
Preferred Apartment Communities Market Buy,$160.70,Preferred Apartment Communities Market BuyMay 13,10 shares at $16.07
New Residential Investment Market Buy,$165.60,New Residential Investment Market BuyMay 13,10 shares at $16.56
Annaly Capital Market Buy,$171.72,Annaly Capital Market BuyMay 13,18 shares at $9.54
